work_year,experience_level,job_title,salary_in_usd
2022,SE,Data Scientist,144000
2022,SE,Data Engineer,200100
2022,SE,Data Engineer,160000
2022,SE,Data Engineer,145000
2022,SE,Data Engineer,70500
2022,SE,Data Scientist,205300
2022,SE,Data Scientist,140400
2022,SE,Analytics Engineer,205300
2022,SE,Analytics Engineer,184700
2022,SE,Data Engineer,175100
2022,SE,Data Engineer,140250
2022,SE,Data Analyst,116150
2022,SE,Data Engineer,54000
2022,SE,Data Analyst,170000
2022,MI,Data Analyst,65438
2022,SE,Data Analyst,80000
2022,SE,Data Scientist,140000
2022,SE,Data Scientist,210000
2022,SE,Data Scientist,140000
2022,SE,Data Analyst,100000
2022,SE,Data Analyst,69000
2022,SE,Data Scientist,210000
2022,SE,Data Scientist,140000
2022,SE,Data Scientist,210000
2022,SE,Data Analyst,150075
2022,SE,Data Engineer,100000
2022,SE,Data Engineer,25000
2022,SE,Data Analyst,126500
2022,SE,Data Analyst,106260
2022,SE,Data Engineer,220110
2022,SE,Data Engineer,160080
2022,SE,Data Analyst,105000
2022,SE,Data Analyst,110925
2022,MI,Data Analyst,45807
2022,SE,Data Scientist,140000
2022,SE,Data Analyst,99000
2022,SE,Data Analyst,60000
2022,SE,Data Architect,192564
2022,SE,Data Architect,144854
2022,SE,Data Scientist,230000
2022,SE,Data Scientist,150000
2022,SE,Data Analytics Manager,150260
2022,SE,Data Analytics Manager,109280
2022,SE,Data Scientist,210000
2022,SE,Data Analyst,170000
2022,MI,Data Scientist,160000
2022,MI,Data Scientist,130000
2022,EN,Data Analyst,67000
2022,EN,Data Analyst,52000
2022,SE,Data Engineer,154000
2022,SE,Data Engineer,126000
2022,SE,Data Analyst,129000
2022,SE,Data Analyst,150000
2022,MI,AI Scientist,200000
